0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:39 +0530] "GET /MobileStore/admin/resources/js/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:39 +0530] "GET /MobileStore/admin/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:39 +0530] "GET /MobileStore/admin/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:39 +0530] "GET /MobileStore/admin/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:40 +0530] "GET /MobileStore/admin/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:40 +0530] "GET /MobileStore/admin/resources/image/LogoNew.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:40 +0530] "GET /MobileStore/admin/resources/js/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:40 +0530] "GET /MobileStore/admin/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:41 +0530] "GET /MobileStore/admin/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:41 +0530] "GET /MobileStore/admin/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:41 +0530] "GET /MobileStore/admin/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:41 +0530] "GET /MobileStore/admin/resources/image/LogoNew.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:41 +0530] "GET /MobileStore/admin/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:41 +0530] "GET /MobileStore/admin/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:52 +0530] "GET /MobileStore/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:53 +0530] "GET /MobileStore/ HTTP/1.1" 200 9494
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:53 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:53 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:53 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:53 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:53 +0530] "GET /MobileStore/resources/image/LogoNew.png HTTP/1.1" 200 31086
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:53 +0530] "GET /MobileStore/resources/image/phone1.jpg HTTP/1.1" 200 218123
